,     Extent,time,xco2,xch4
357,14.119,2004-04-11,376.02417,1743.3961
358,13.948,2004-04-12,376.17517000000004,1742.1013
359,13.883,2004-04-13,377.0272,1744.3333
360,13.9,2004-04-14,376.1047,1737.5564
361,13.861,2004-04-15,377.3443,1744.6217
362,13.821,2004-04-16,377.0842,1745.3033
363,13.768,2004-04-17,375.84244,1741.9011
364,13.715,2004-04-18,376.56012000000004,1745.0539999999999
365,13.778,2004-04-19,379.07776,1746.9289999999999
366,13.767,2004-04-20,376.24347,1743.7758
367,13.682,2004-04-21,375.28378,1745.366
368,13.649,2004-04-22,376.77194,1746.9042
369,13.556,2004-04-23,375.9355,1742.908
370,13.554,2004-04-24,376.81412,1751.1193
371,13.577,2004-04-25,376.8484,1746.1406
372,13.5,2004-04-26,375.12546000000003,1743.5966
373,13.52,2004-04-27,376.58026,1744.3342
374,13.443,2004-04-28,377.18445,1743.5970000000002
375,13.43,2004-04-29,375.69754,1747.7937
376,13.335,2004-04-30,375.46997000000005,1743.5889
377,13.203,2004-05-01,376.7325,1743.8293
378,13.113,2004-05-02,378.4104,1747.7424
379,13.129,2004-05-03,376.0596,1746.3917
380,13.128,2004-05-04,377.48236,1748.0271
381,13.019,2004-05-05,376.9948,1746.7762
382,12.97,2004-05-06,376.0282,1743.6776
383,12.901,2004-05-07,377.45685,1744.5798
384,12.781,2004-05-08,377.42685,1745.6753
385,12.709,2004-05-11,376.25300000000004,1745.2935
386,12.632,2004-05-12,375.88199999999995,1744.0
387,12.563,2004-05-13,376.0883,1747.9089
388,12.529,2004-05-14,377.0447,1744.4589
389,12.48,2004-05-15,376.55255,1743.2733
390,12.476,2004-05-16,376.4114,1745.9509
391,12.43,2004-05-17,377.32437000000004,1745.4805
392,12.437,2004-05-18,378.4854,1745.9447
393,12.394,2004-05-19,376.00027,1745.3888
394,12.334,2004-05-20,376.50214,1746.2589
395,12.352,2004-05-21,376.5933,1744.5673
396,12.292,2004-05-22,376.36356,1744.9937
397,12.261,2004-05-23,377.11312999999996,1744.2667
398,12.242,2004-05-24,377.25043,1744.1454
399,12.215,2004-05-25,376.55322,1745.9548
400,12.198,2004-05-26,376.00763,1746.0970000000002
401,12.283,2004-05-27,375.2831,1745.725
402,12.209,2004-05-28,375.81824,1744.7197
403,12.229,2004-05-29,375.4486,1747.5715
404,12.194,2004-05-30,376.3894,1746.9178
405,12.106,2004-05-31,376.66882000000004,1746.6702
406,11.965,2004-06-01,376.48886,1746.2855
407,11.96,2004-06-02,376.58902,1747.8737
408,11.923,2004-06-03,376.49792,1747.9037
409,11.914,2004-06-04,375.9515,1746.8442
410,11.862,2004-06-05,376.60254,1745.7338
411,11.851,2004-06-06,376.09592000000004,1746.3693
412,11.814,2004-06-07,377.16152999999997,1743.9154
413,11.807,2004-06-08,379.07227,1747.4739
414,11.723,2004-06-10,374.74802,1744.4620000000002
415,11.683,2004-06-11,377.02487,1747.5128
416,11.688,2004-06-12,376.36374,1747.2166
417,11.616,2004-06-13,376.59485,1744.6395
418,11.576,2004-06-14,376.68216,1746.1263
419,11.558,2004-06-15,376.46432000000004,1745.5978
420,11.534,2004-06-16,376.03348,1748.0295
421,11.444,2004-06-17,375.88284,1744.3572
422,11.363,2004-06-18,376.9812,1746.6438
423,10.814,2004-06-30,376.22205,1751.8129999999999
424,10.633,2004-07-01,376.77612,1748.0939
425,10.542,2004-07-02,376.59116,1745.5798
426,10.402,2004-07-03,376.62875,1746.6992
427,10.349,2004-07-04,376.3303,1747.2434
428,10.277,2004-07-05,375.2626,1738.3661
429,10.218,2004-07-07,374.94977,1749.1008
430,10.132,2004-07-08,375.3697,1749.9686
431,10.039,2004-07-09,375.86922999999996,1746.6536
432,9.963,2004-07-10,375.78052,1744.2528
433,9.867,2004-07-11,376.13644,1745.463
434,9.799,2004-07-12,376.2849,1745.4727
435,9.713,2004-07-13,376.6134,1747.1609
436,9.529,2004-07-14,376.3362,1746.9929
437,9.518,2004-07-15,375.8192,1745.1178
438,9.492,2004-07-16,376.36465,1750.816
439,9.328,2004-07-17,375.46744,1750.4882
440,9.185,2004-07-18,374.85638,1749.7429
441,9.168,2004-07-19,375.64694,1753.4696
442,9.061,2004-07-20,375.35352,1751.1072
443,9.028,2004-07-21,375.81378,1747.6494
444,8.935,2004-07-22,376.11194,1751.4442
445,8.881,2004-07-23,376.02957000000004,1750.3206
446,8.82,2004-07-24,376.04373,1752.4952
447,8.76,2004-07-25,375.9537,1749.2217
448,8.653,2004-07-26,375.91747999999995,1749.1793
449,8.466,2004-07-27,374.55742999999995,1752.8046
450,8.431,2004-07-28,375.99396,1751.5022
451,8.364,2004-07-29,375.55902000000003,1747.1211
452,8.311,2004-07-30,375.49744,1750.9282
453,8.22,2004-07-31,374.79247999999995,1752.1675
454,8.125,2004-08-01,375.13977,1749.7382
455,7.954,2004-08-02,374.3328,1758.2462
456,7.864,2004-08-03,375.82288,1749.977
457,7.795,2004-08-04,374.78357,1750.7363
458,7.74,2004-08-05,374.87335,1754.8436
459,7.609,2004-08-06,376.11664,1751.8994
460,7.472,2004-08-07,374.79684,1753.922
461,7.388,2004-08-08,375.34836,1754.0348
462,7.261,2004-08-09,374.7969,1748.6694
463,7.213,2004-08-10,376.67426,1755.9003
464,7.15,2004-08-11,373.0345,1756.1378
465,7.057,2004-08-12,373.2975,1757.1357
466,6.985,2004-08-13,373.84997999999996,1755.3541
467,6.865,2004-08-14,374.5423,1750.8751
468,6.878,2004-08-15,374.4334,1754.5884
469,6.683,2004-08-16,375.19872999999995,1752.6243
470,6.68,2004-08-17,374.21347000000003,1753.71
471,6.607,2004-08-18,372.75885,1753.066
472,6.58,2004-08-19,375.2743,1750.3123
473,6.492,2004-08-20,375.07083,1751.7272
474,6.425,2004-08-21,373.1238,1751.6937
475,6.344,2004-08-22,374.08215,1751.5587
476,6.302,2004-08-23,374.5917,1757.4779999999998
477,6.284,2004-08-24,374.14047,1755.6758
478,6.224,2004-08-25,373.57336000000004,1755.1448
479,6.215,2004-08-26,374.394,1757.0369
480,6.181,2004-08-27,372.82437000000004,1755.6781
481,6.058,2004-08-28,373.63132,1755.8885
482,6.033,2004-08-29,374.57022,1752.9336
483,6.021,2004-08-30,374.6845,1752.704
484,6.015,2004-08-31,375.0176,1755.8225
485,5.93,2004-09-01,375.1497,1755.6387
486,5.967,2004-09-02,374.60654,1756.3556
487,5.926,2004-09-03,373.30182,1757.2455
488,5.946,2004-09-04,374.34943,1752.7224
489,5.963,2004-09-05,375.04202000000004,1760.1034
490,5.94,2004-09-06,372.15994,1756.364
491,5.902,2004-09-07,373.00717000000003,1755.5399
492,5.927,2004-09-08,374.4543,1751.9037
493,5.906,2004-09-09,372.96436,1757.8264
494,5.83,2004-09-10,373.82352000000003,1754.9941
495,5.809,2004-09-11,374.6908,1753.2134
496,5.807,2004-09-12,374.5161,1760.871
497,5.84,2004-09-13,373.93712999999997,1752.4691
498,5.855,2004-09-14,374.05163999999996,1759.4772
499,5.853,2004-09-15,374.34824,1759.7999
500,5.803,2004-09-16,373.4969,1757.8148
501,5.803,2004-09-17,373.95538,1759.8225
502,5.77,2004-09-18,374.05147999999997,1762.8329
503,5.771,2004-09-19,372.4473,1762.1239
504,5.821,2004-09-20,373.79205,1758.0342
505,6.034,2004-09-21,375.33083999999997,1726.1084
506,5.97,2004-09-22,373.4382,1758.9987
507,6.183,2004-09-25,373.1274,1758.4154
508,6.247,2004-09-26,374.64935,1755.5238
509,6.32,2004-09-27,374.43698,1761.0203
510,6.397,2004-09-28,374.03104,1757.2185
511,6.442,2004-09-29,374.52402,1759.3213
512,6.461,2004-09-30,375.4181,1755.9879999999998
513,6.839,2004-10-03,375.65213,1750.8291
514,6.821,2004-10-04,374.95892000000003,1758.5653
515,6.899,2004-10-05,375.38242,1754.2817
516,7.039,2004-10-06,374.71884,1754.1718
517,7.204,2004-10-07,374.93102999999996,1752.8817
518,7.289,2004-10-08,374.28927999999996,1756.269
519,7.357,2004-10-09,374.76662999999996,1754.0485
520,7.464,2004-10-10,374.6937,1753.2129
521,7.607,2004-10-11,374.4399,1760.0016
522,7.74,2004-10-12,374.661,1756.9149
523,7.846,2004-10-13,374.92865,1753.9211
524,7.894,2004-10-14,374.85904,1755.3706
525,7.92,2004-10-15,374.4034,1753.56
526,7.982,2004-10-16,374.99699999999996,1761.9883
527,8.11,2004-10-17,374.49957,1758.1229
528,8.219,2004-10-18,374.11975,1759.2474
529,8.21,2004-10-19,374.97283999999996,1755.4652
530,8.169,2004-10-20,375.39664,1752.5596
531,8.242,2004-10-21,374.84103,1750.6559
532,8.329,2004-10-22,375.82653999999997,1749.4401
533,8.432,2004-10-23,375.52582,1755.5461
534,8.617,2004-10-24,376.03772000000004,1756.3312
535,8.685,2004-10-25,374.4905,1755.3307
536,8.742,2004-10-26,375.21912000000003,1752.0985
537,8.798,2004-10-27,375.59674,1753.7765
538,8.88,2004-10-28,375.5726,1748.2513
539,8.987,2004-10-29,376.2873,1753.5449
540,8.984,2004-10-30,374.74625,1752.1265
541,9.045,2004-10-31,375.37296000000003,1755.5941
542,9.16,2004-11-01,376.13208,1752.9148
543,9.289,2004-11-02,376.02438,1750.8252
544,9.407,2004-11-03,375.5597,1751.5854
545,9.54,2004-11-04,375.22855,1756.281
546,9.734,2004-11-05,375.69467000000003,1747.1754
547,9.806,2004-11-06,375.4943,1748.5399
548,9.809,2004-11-07,375.53616,1747.0184
549,9.923,2004-11-08,376.35042999999996,1752.2216
550,9.91,2004-11-09,375.83383,1746.8549
551,10.052,2004-11-10,377.0048,1750.0444
552,10.144,2004-11-11,376.00955,1748.7712
553,10.232,2004-11-12,376.01865,1751.4326
554,10.224,2004-11-13,375.98073999999997,1757.4897
555,10.299,2004-11-14,375.1651,1750.5863
556,10.346,2004-11-15,376.34283,1742.9812
557,10.419,2004-11-16,375.59482,1741.8419
558,10.501,2004-11-19,375.22902999999997,1743.1503
559,10.607,2004-11-20,375.7207,1738.2220000000002
560,10.674,2004-11-21,375.66855,1746.1897
561,10.683,2004-11-22,375.86588,1743.7269
562,10.704,2004-11-23,376.3295,1741.3256
563,10.839,2004-11-24,375.65936,1738.4337
564,10.97,2004-11-25,376.63538,1752.8618
565,11.046,2004-11-26,375.39032000000003,1739.4882
