,     Extent,time,xco2,xch4
371,8.156,2004-04-25,376.8484,1746.1406
372,8.29,2004-04-26,375.12546000000003,1743.5966
373,8.43,2004-04-27,376.58026,1744.3342
374,8.602,2004-04-28,377.18445,1743.5970000000002
375,8.749,2004-04-29,375.69754,1747.7937
376,8.823,2004-04-30,375.46997000000005,1743.5889
377,8.901,2004-05-01,376.7325,1743.8293
378,9.045,2004-05-02,378.4104,1747.7424
379,9.142,2004-05-03,376.0596,1746.3917
380,9.264,2004-05-04,377.48236,1748.0271
381,9.383,2004-05-05,376.9948,1746.7762
382,9.396,2004-05-06,376.0282,1743.6776
383,9.475,2004-05-07,377.45685,1744.5798
384,9.579,2004-05-08,377.42685,1745.6753
385,9.918,2004-05-11,376.25300000000004,1745.2935
386,10.063,2004-05-12,375.88199999999995,1744.0
387,10.123,2004-05-13,376.0883,1747.9089
388,10.244,2004-05-14,377.0447,1744.4589
389,10.344,2004-05-15,376.55255,1743.2733
390,10.422,2004-05-16,376.4114,1745.9509
391,10.416,2004-05-17,377.32437000000004,1745.4805
392,10.464,2004-05-18,378.4854,1745.9447
393,10.683,2004-05-19,376.00027,1745.3888
394,10.855,2004-05-20,376.50214,1746.2589
395,10.875,2004-05-21,376.5933,1744.5673
396,10.953,2004-05-22,376.36356,1744.9937
397,11.075,2004-05-23,377.11312999999996,1744.2667
398,11.207,2004-05-24,377.25043,1744.1454
399,11.423,2004-05-25,376.55322,1745.9548
400,11.649,2004-05-26,376.00763,1746.0970000000002
401,11.836,2004-05-27,375.2831,1745.725
402,12.072,2004-05-28,375.81824,1744.7197
403,12.111,2004-05-29,375.4486,1747.5715
404,12.075,2004-05-30,376.3894,1746.9178
405,12.122,2004-05-31,376.66882000000004,1746.6702
406,12.262,2004-06-01,376.48886,1746.2855
407,12.359,2004-06-02,376.58902,1747.8737
408,12.567,2004-06-03,376.49792,1747.9037
409,12.613,2004-06-04,375.9515,1746.8442
410,12.638,2004-06-05,376.60254,1745.7338
411,12.7,2004-06-06,376.09592000000004,1746.3693
412,12.78,2004-06-07,377.16152999999997,1743.9154
413,12.937,2004-06-08,379.07227,1747.4739
414,13.142,2004-06-10,374.74802,1744.4620000000002
415,13.339,2004-06-11,377.02487,1747.5128
416,13.434,2004-06-12,376.36374,1747.2166
417,13.581,2004-06-13,376.59485,1744.6395
418,13.733,2004-06-14,376.68216,1746.1263
419,13.867,2004-06-15,376.46432000000004,1745.5978
420,13.941,2004-06-16,376.03348,1748.0295
421,14.026,2004-06-17,375.88284,1744.3572
422,14.094,2004-06-18,376.9812,1746.6438
423,15.156,2004-06-30,376.22205,1751.8129999999999
424,15.197,2004-07-01,376.77612,1748.0939
425,15.27,2004-07-02,376.59116,1745.5798
426,15.403,2004-07-03,376.62875,1746.6992
427,15.44,2004-07-04,376.3303,1747.2434
428,15.442,2004-07-05,375.2626,1738.3661
429,15.577,2004-07-07,374.94977,1749.1008
430,15.661,2004-07-08,375.3697,1749.9686
431,15.824,2004-07-09,375.86922999999996,1746.6536
432,15.969,2004-07-10,375.78052,1744.2528
433,16.132,2004-07-11,376.13644,1745.463
434,16.291,2004-07-12,376.2849,1745.4727
435,16.297,2004-07-13,376.6134,1747.1609
436,16.294,2004-07-14,376.3362,1746.9929
437,16.335,2004-07-15,375.8192,1745.1178
438,16.406,2004-07-16,376.36465,1750.816
439,16.45,2004-07-17,375.46744,1750.4882
440,16.525,2004-07-18,374.85638,1749.7429
441,16.622,2004-07-19,375.64694,1753.4696
442,16.718,2004-07-20,375.35352,1751.1072
443,16.747,2004-07-21,375.81378,1747.6494
444,16.798,2004-07-22,376.11194,1751.4442
445,16.856,2004-07-23,376.02957000000004,1750.3206
446,16.836,2004-07-24,376.04373,1752.4952
447,16.807,2004-07-25,375.9537,1749.2217
448,16.861,2004-07-26,375.91747999999995,1749.1793
449,17.013,2004-07-27,374.55742999999995,1752.8046
450,17.069,2004-07-28,375.99396,1751.5022
451,17.201,2004-07-29,375.55902000000003,1747.1211
452,17.35,2004-07-30,375.49744,1750.9282
453,17.419,2004-07-31,374.79247999999995,1752.1675
454,17.414,2004-08-01,375.13977,1749.7382
455,17.433,2004-08-02,374.3328,1758.2462
456,17.491,2004-08-03,375.82288,1749.977
457,17.466,2004-08-04,374.78357,1750.7363
458,17.453,2004-08-05,374.87335,1754.8436
459,17.467,2004-08-06,376.11664,1751.8994
460,17.665,2004-08-07,374.79684,1753.922
461,17.773,2004-08-08,375.34836,1754.0348
462,17.722,2004-08-09,374.7969,1748.6694
463,17.669,2004-08-10,376.67426,1755.9003
464,17.731,2004-08-11,373.0345,1756.1378
465,17.776,2004-08-12,373.2975,1757.1357
466,17.857,2004-08-13,373.84997999999996,1755.3541
467,17.984,2004-08-14,374.5423,1750.8751
468,18.026,2004-08-15,374.4334,1754.5884
469,18.149,2004-08-16,375.19872999999995,1752.6243
470,18.067,2004-08-17,374.21347000000003,1753.71
471,18.03,2004-08-18,372.75885,1753.066
472,18.0,2004-08-19,375.2743,1750.3123
473,17.996,2004-08-20,375.07083,1751.7272
474,18.11,2004-08-21,373.1238,1751.6937
475,18.108,2004-08-22,374.08215,1751.5587
476,18.259,2004-08-23,374.5917,1757.4779999999998
477,18.391,2004-08-24,374.14047,1755.6758
478,18.568,2004-08-25,373.57336000000004,1755.1448
479,18.574,2004-08-26,374.394,1757.0369
480,18.572,2004-08-27,372.82437000000004,1755.6781
481,18.609,2004-08-28,373.63132,1755.8885
482,18.608,2004-08-29,374.57022,1752.9336
483,18.614,2004-08-30,374.6845,1752.704
484,18.73,2004-08-31,375.0176,1755.8225
485,18.782,2004-09-01,375.1497,1755.6387
486,18.842,2004-09-02,374.60654,1756.3556
487,18.858,2004-09-03,373.30182,1757.2455
488,18.941,2004-09-04,374.34943,1752.7224
489,19.054,2004-09-05,375.04202000000004,1760.1034
490,19.047,2004-09-06,372.15994,1756.364
491,19.093,2004-09-07,373.00717000000003,1755.5399
492,19.124,2004-09-08,374.4543,1751.9037
493,19.069,2004-09-09,372.96436,1757.8264
494,19.059,2004-09-10,373.82352000000003,1754.9941
